node   1  (   0,    0) (  15,    3) (  71,    4) (  98,   11) (  81,   38) (  81,   75) (  81,   90) (  81,   90) (  81,   90) (  81,   90)
          (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90)
          (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90)
          (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90)
          (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90) (  81,   90)
          (  81,   90) (  73,   90) (  71,   74) (  73,   78) (  78,   77) (  74,   82) (  70,   80) (  72,   82) (  70,   74) (  76,   81)
          (  68,   83) (  72,   87) (  68,   84) (  70,   78) (  71,   82) (  74,   81) (  75,   80) (  72,   82) (  75,   82) (  72,   78)
          (  70,   81) (  72,   85) (  70,   80) (  77,   78) (  75,   80) (  75,   85) (  75,   85) (  75,   83) (  77,   83) (  71,   82)
          (  71,   82) (  72,   82) (  73,   83) (  76,   86) (  68,   82) (  76,   81) (  76,   78) (  73,   86) (  75,   84) (  69,   84)
          (  75,   78) (  74,   87) (  73,   81) (  74,   82) (  73,   82) (  73,   82) (  76,   84) (  77,   78) (  73,   80) (  74,   85)
          (  70,   80) (  72,   80) (  76,   73) (  75,   68) (  72,   71) (  73,   69) (  76,   75) (  76,   70) (  71,   75) (  75,   74)
          (  74,   74) (  69,   78) (  73,   73) (  76,   72) (  72,   68) (  78,   75) (  76,   74) (  75,   73) (  76,   75) (  74,   71)
          (  76,   71) (  81,   72) (  76,   80) (  69,   73) (  74,   74) (  74,   76) (  71,   68) (  75,   69) (  77,   77) (  68,   71)
          (  73,   74) (  72,   69) (  72,   74) (  71,   71) (  74,   70) (  74,   71) (  76,   72) (  72,   69) (  71,   73) (  76,   70)
          (  75,   71) (  72,   70) (  77,   75) (  75,   74) (  74,   66) (  72,   75) (  70,   76) (  74,   71) (  75,   75) (  74,   75)
          (  73,   71) (  70,   75) (  75,   74) (  76,   71) (  72,   68) (  73,   74) (  77,   71) (  73,   73) (  74,   73) (  72,   70)
          (  75,   75) (  75,   73) (  72,   74) (  70,   70) (  75,   71) (  77,   76) (  73,   71) (  74,   73) (  73,   73) (  75,   74)
          (  67,   76) (  77,   74) (  74,   73) (  69,   72) (  69,   73) (  71,   71) (  73,   69) (  75,   78) (  70,   75) (  75,   71)
